Year,Borough,Precinct,Crashes,BikeInjuries,BikeFatalities,MVInjuries,MVFatalaties
2016,Manhattan,1,88,87,1,2,0
2016,Manhattan,5,81,81,0,0,0
2016,Manhattan,6,60,60,0,1,0
2016,Manhattan,7,45,46,0,0,0
2016,Manhattan,9,84,84,0,3,0
2016,Manhattan,10,53,53,0,0,0
2016,Manhattan,13,121,121,0,4,0
2016,Manhattan,14,115,116,0,1,0
2016,Manhattan,17,94,94,0,1,0
2016,Manhattan,18,104,103,1,1,0
2016,Manhattan,19,111,112,0,1,0
2016,Manhattan,20,46,46,0,0,0
2016,Manhattan,22,6,6,0,0,0
2016,Manhattan,23,27,27,0,0,0
2016,Manhattan,24,48,48,0,0,0
2016,Manhattan,25,39,39,0,1,0
2016,Manhattan,26,25,25,0,0,0
2016,Manhattan,28,39,39,0,0,0
2016,Manhattan,30,26,26,0,0,0
2016,Manhattan,32,50,50,0,3,0
2016,Manhattan,33,23,23,0,0,0
2016,Manhattan,34,42,42,0,0,0
2016,Bronx,40,79,79,0,0,0
2016,Bronx,41,30,30,0,0,0
2016,Bronx,42,30,30,0,6,0
2016,Bronx,43,52,53,0,0,0
2016,Bronx,44,47,48,0,3,0
2016,Bronx,45,30,30,1,0,0
2016,Bronx,46,33,35,0,2,0
2016,Bronx,47,33,33,0,0,0
2016,Bronx,48,32,33,0,0,0
2016,Bronx,49,36,36,1,0,0
2016,Bronx,50,18,18,0,1,0
2016,Bronx,52,44,45,1,1,0
2016,Brooklyn,60,28,29,0,1,0
2016,Brooklyn,61,74,72,2,3,0
2016,Brooklyn,62,79,79,0,0,0
2016,Brooklyn,63,27,27,0,0,0
2016,Brooklyn,66,116,116,0,2,0
2016,Brooklyn,67,81,82,0,3,0
2016,Brooklyn,68,46,47,0,0,0
2016,Brooklyn,69,26,26,0,0,0
2016,Brooklyn,70,114,113,1,2,0
2016,Brooklyn,71,71,70,1,0,0
2016,Brooklyn,72,102,103,0,1,0
2016,Brooklyn,73,47,47,0,3,0
2016,Brooklyn,75,100,101,1,4,0
2016,Brooklyn,76,35,36,0,0,0
2016,Brooklyn,77,76,77,0,2,0
2016,Brooklyn,78,89,89,1,0,0
2016,Brooklyn,79,108,110,0,0,0
2016,Brooklyn,81,55,55,0,1,0
2016,Brooklyn,83,98,97,1,1,0
2016,Brooklyn,84,63,63,0,0,0
2016,Brooklyn,88,106,106,1,3,0
2016,Brooklyn,90,198,199,1,2,0
2016,Brooklyn,94,83,83,0,0,0
2016,Queens,100,7,7,0,0,0
2016,Queens,101,15,15,0,1,0
2016,Queens,102,48,48,0,1,0
2016,Queens,103,31,31,0,0,0
2016,Queens,104,82,82,0,2,0
2016,Queens,105,32,32,0,0,0
2016,Queens,106,41,41,0,0,0
2016,Queens,107,35,35,0,1,0
2016,Queens,108,101,102,0,3,0
2016,Queens,109,79,80,0,0,0
2016,Queens,110,96,98,1,1,0
2016,Queens,111,20,19,1,1,0
2016,Queens,112,30,30,0,0,0
2016,Queens,113,39,42,0,1,0
2016,Queens,114,123,123,0,0,0
2016,Queens,115,109,110,1,2,0
2016,Staten Island,120,33,33,0,1,0
2016,Staten Island,121,19,19,0,2,0
2016,Staten Island,122,16,15,1,0,0
2016,Staten Island,123,5,5,0,0,0
